,mean,std
3625,1.142857143,0.050836728
3626,1,0.016087236
3627,1.625,0.089518301
3628,1.615384615,0.107793438
3629,2.777777778,0.178321777
3630,8.5,0.429829009
3631,1.4,0.053331457
3632,6.8,0.59786552
3633,4.625,0.404045557
3634,2.142857143,0.125601586
3635,3,0.082025044
3636,2,0.050868354
3637,7.862068966,1.656539149
3638,3.114285714,0.48212265
3639,2,0.060180677
3640,8,0.760182965
3641,9.142857143,0.600918204
3642,1.181818182,0.070050926
3643,2.285714286,0.113693242
3644,4.157894737,0.450898495
3645,3.366666667,0.422741844
3646,1.75,0.107793438
3647,3.857142857,0.230257926
3648,5.6875,0.644950182
3649,2.72,0.337033012
3650,3,0.119258381
3651,2,0.075421181
3652,2.777777778,0.175394388
3653,3.466666667,0.350030517
3654,1,0.027856694
3655,2,0.085111479
3656,1.5,0.055713388
3657,8,0.261346646
3658,5.9,0.537031198
3659,2.111111111,0.127610255
3660,2.647058824,0.216145963
3661,4.857142857,0.239563819
3662,3,0.308846105
3663,3.888888889,0.270512543
3664,2.6,0.245750856
3665,2,0.096485918
3666,3.166666667,0.176914146
3667,5.333333333,0.149148702
3668,6.4,0.26813462
3669,6.6,0.448448408
3670,3,0.161604241
3671,1.941176471,0.149827837
3672,3.428571429,0.264082317
3673,1.875,0.135515387
3674,3,0.22901508
3675,1.571428571,0.073675512
3676,3,0.170888927
3677,4,0.50354653
3678,1.5,0.066297035
3679,3.305555556,0.643841008
3680,2.888888889,0.253285431
3681,3.916666667,0.371948074
3682,2.230769231,0.173870597
3683,3.25,0.127660658
3684,2.777777778,0.159955832
3685,1.666666667,0.088086797
3686,1.375,0.070073881
3687,1.681818182,0.153183165
3688,2.285714286,0.122462577
3689,3.466666667,0.416244077
3690,3.75,0.70674863
3691,1.571428571,0.089536265
3692,2.642857143,0.295205283
3693,1,0.032161973
3694,2,0.106679246
3695,1.555555556,0.090942746
3696,4.75,0.1724686
3697,1.625,0.086578253
